"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"12-31-22 / 09:33 PM","Upper Concourse","408","17","2","495"
"12-31-22 / 09:33 PM","Upper Concourse","442","29","3","527.8"
"12-31-22 / 09:33 PM","Field","P","21","4","1428.47"
"12-31-22 / 01:23 AM","Upper Concourse","411","11","6","569.25"
"12-31-22 / 01:23 AM","Mezzanine","327","17","2","900"
"12-30-22 / 09:39 PM","Club Hall of Fame","C133","20","2","1333.24"
"12-30-22 / 09:39 PM","Upper Concourse","418","16","3","540"
"12-30-22 / 05:54 PM","Silver Suite","SV446","15","3","810"
"12-30-22 / 01:52 PM","Upper Concourse","442","12","2","531.44"
"12-30-22 / 01:52 PM","Main","219","9","2","1124.1"
"12-30-22 / 02:56 AM","Upper Concourse","441","20","2","490.49"
"12-30-22 / 02:56 AM","Upper Concourse","411","19","6","539.54"
"12-30-22 / 02:56 AM","Upper Concourse","438","","2","855"
"12-30-22 / 02:56 AM","Field","C","14","6","1381.38"
"12-30-22 / 02:56 AM","Field","C","5","1","1704.78"
"12-29-22 / 07:22 PM","Upper Concourse","432","11","2","546"
"12-29-22 / 07:22 PM","Mezzanine","327","6","3","946.4"
"12-29-22 / 07:22 PM","Field","D","5","2","2520"
"12-29-22 / 07:22 PM","Club Mezzanine","C334","9","2","970"
"12-29-22 / 07:22 PM","Mezzanine","303","7","2","405"
"12-29-22 / 03:04 PM","Upper Concourse","440","21","6","563.5"
"12-29-22 / 03:04 PM","Upper Concourse","421","23","2","513.16"
"12-29-22 / 04:19 AM","Upper Concourse","412","3","1","450"
"12-29-22 / 12:22 AM","Field","G","2","3","1710"
"12-29-22 / 12:22 AM","Main","225","15","1","855"
"12-29-22 / 12:22 AM","Upper Concourse","433","1","1","449.1"
"12-28-22 / 04:17 PM","Upper Concourse","411","6","1","628.2"
"12-28-22 / 02:13 AM","Upper Concourse","408","29","5","503.1"
"12-27-22 / 06:37 PM","Upper Concourse","414","18","4","499"
"12-27-22 / 06:37 PM","Upper Concourse","442","30","6","526.89"
"12-27-22 / 02:53 PM","Upper Concourse","421","4","4","540"
"12-27-22 / 02:53 PM","Upper Concourse","414","27","2","445.5"
"12-27-22 / 02:53 PM","Upper Concourse","438","2","2","713.92"
"12-27-22 / 02:53 PM","Upper Concourse","411","6","1","628.2"
"12-27-22 / 06:40 AM","Club Main","C213","1","4","1914.35"
"12-27-22 / 03:38 AM","Upper Concourse","449","","1","360"
"12-27-22 / 03:38 AM","Upper Concourse","431","9","1","315"
"12-27-22 / 12:28 AM","Main","226","10","2","900"
"12-27-22 / 12:28 AM","Mezzanine","329","17","2","765"
"12-27-22 / 12:28 AM","Main","223","7","2","1080"
"12-26-22 / 04:29 AM","Upper Concourse","444","6","2","611.1"
