"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-07-23 / 08:50 PM","100-Level","142","18","2","784"
"01-07-23 / 04:58 PM","100-Level","117","20","2","666"
"01-07-23 / 04:58 PM","100-Level","129","28","3","675"
"01-07-23 / 04:58 PM","100-Level","119","23","2","585"
"01-07-23 / 04:58 PM","Field","A2","10","5","1796.92"
"01-07-23 / 04:58 PM","300-Level","300-Level","3","4","720"
"01-07-23 / 04:58 PM","Field","B3","5","2","823.5"
"01-07-23 / 01:13 PM","100-Level","C114","32","2","1035"
"01-07-23 / 09:37 AM","100-Level","101","21","2","970"
"01-07-23 / 09:37 AM","400-Level","434","2","3","427.5"
"01-07-23 / 03:19 AM","100-Level","129","20","2","630"
"01-07-23 / 03:19 AM","Field","A10","6","2","963"
"01-07-23 / 03:19 AM","300-Level","311","8","2","511.5"
"01-06-23 / 11:26 PM","400-Level","434","6","3","360"
"01-06-23 / 11:26 PM","Field","A8","8","2","1727.99"
"01-06-23 / 11:26 PM","200-Level","242","15A","1","359.1"
"01-06-23 / 11:26 PM","200-Level","203","9","3","723.72"
"01-06-23 / 11:26 PM","300-Level","331","5","2","314.1"
"01-06-23 / 07:29 PM","100-Level","107","10","3","675"
"01-06-23 / 07:29 PM","200-Level","206","6","1","381.21"
"01-06-23 / 07:29 PM","300-Level","342","9","2","359.1"
"01-06-23 / 07:29 PM","300-Level","331","5","2","314.1"
"01-06-23 / 07:29 PM","100-Level","119","Three","4","900"
"01-06-23 / 07:29 PM","100-Level","142","19","1","494.09"
"01-06-23 / 07:29 PM","100-Level","119","37A","3","495"
"01-06-23 / 07:29 PM","300-Level","306","12","2","444.08"
"01-06-23 / 03:58 PM","Field","B3","14","2","808.5"
"01-06-23 / 03:58 PM","100-Level","C137","38","2","652.5"
"01-06-23 / 03:58 PM","400-Level","408","4","2","389.25"
"01-06-23 / 12:19 PM","200-Level","247","11","2","539.1"
"01-06-23 / 02:14 AM","Field","B3","11","2","781.87"
