"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"12-21-22 / 07:27 PM","200-Level","225","1","2","1091.25"
"12-21-22 / 07:27 PM","100-Level","120","29","2","900"
"12-21-22 / 07:27 PM","300-Level","342","15","2","630"
"12-21-22 / 07:27 PM","300-Level","304","13","2","355.5"
"12-21-22 / 07:27 PM","300-Level","345","15","2","675"
"12-21-22 / 07:27 PM","300-Level","342","11","1","450"
"12-21-22 / 07:27 PM","100-Level","113","21","2","1224.64"
"12-21-22 / 07:27 PM","300-Level","319","8","2","630"
"12-21-22 / 11:30 AM","200-Level","221","9","2","899.1"
"12-21-22 / 11:30 AM","300-Level","337","26","2","576"
"12-21-22 / 07:24 AM","Field Level","FLR-F","11","3","2430"
"12-21-22 / 07:24 AM","300-Level","321","25","2","495"
"12-21-22 / 07:24 AM","Field Level","FLR-F","3","1","3150"
"12-21-22 / 07:24 AM","300-Level","314","19","2","810"
"12-21-22 / 07:24 AM","Field Level","FLR-F","10","6","2250"
"12-20-22 / 11:59 PM","200-Level","241","10","3","809.1"
"12-20-22 / 11:59 PM","300-Level","317","24","2","585"
"12-20-22 / 11:59 PM","Field Level","FLR-H","7","4","1530"
"12-20-22 / 11:59 PM","200-Level","218","8","2","900"
"12-20-22 / 11:59 PM","100-Level Club","128C","17","4","1350"
"12-20-22 / 02:10 AM","S2 Suite Level","S225","7","1","1035"
"12-19-22 / 03:31 AM","200-Level","205","2","2","720"
"12-19-22 / 03:31 AM","Loge Box","132L","14","1","900"
"12-18-22 / 10:27 PM","100-Level","125","17","1","1260.02"
"12-18-22 / 05:53 PM","100-Level Club","126C","23","2","1890"
"12-18-22 / 05:53 PM","300-Level","313","20","2","639.23"
"12-18-22 / 01:24 PM","100-Level","122","33","2","1080"
"12-18-22 / 01:24 PM","Field Level","FLR-N","9","2","1350"
"12-18-22 / 12:19 AM","300-Level","338","22","2","540"
"12-18-22 / 12:19 AM","200-Level","218","12","2","994.5"
"12-17-22 / 07:24 PM","300-Level","319","24","6","729"
"12-17-22 / 07:24 PM","300-Level","319","3","4","979.02"
"12-17-22 / 07:24 PM","300-Level","304","2","2","450"
"12-17-22 / 07:24 PM","100-Level","116","28","2","765"
"12-17-22 / 12:58 AM","200-Level Club","237C","8","2","832.5"
"12-16-22 / 07:45 PM","100-Level","124","14","2","1125"
"12-16-22 / 07:45 PM","100-Level Club","112C","28","2","1386.8"
"12-16-22 / 07:45 PM","Field Level","FLR-H","5","2","1642.23"
"12-16-22 / 07:45 PM","Field Level","FLR-G","10","1","1349.1"
"12-16-22 / 07:45 PM","100-Level Club","108C","6","2","1830.6"
"12-16-22 / 05:24 AM","300-Level","342","11","2","495"
"12-16-22 / 12:47 AM","100-Level","125","41","2","900"
"12-16-22 / 12:47 AM","200-Level","217","6","2","877.5"
"12-16-22 / 12:47 AM","200-Level Club","236C","5","2","1170"
"12-16-22 / 12:47 AM","300-Level","343","6","1","900"
"12-16-22 / 12:47 AM","300-Level","340","21","2","630"
"12-16-22 / 12:47 AM","Field Level","FLR-N","18","3","1755"
